I2C1	Value	Access	
CR1	0x00000501	ReadWrite	
     SWRST	0	ReadWrite	
     ALERT	0	ReadWrite	
     PEC	0	ReadWrite	
     POS	0	ReadWrite	
     ACK	1	ReadWrite	
     STOP	0	ReadWrite	
     START	1	ReadWrite	
     NOSTRETCH	0	ReadWrite	
     ENGC	0	ReadWrite	
     ENPEC	0	ReadWrite	
     ENARP	0	ReadWrite	
     SMBTYPE	0	ReadWrite	
     SMBUS	0	ReadWrite	
     PE	1	ReadWrite	
CR2	0x00000024	ReadWrite	
     LAST	0	ReadWrite	
     DMAEN	0	ReadWrite	
     ITBUFEN	0	ReadWrite	
     ITEVTEN	0	ReadWrite	
     ITERREN	0	ReadWrite	
     FREQ	0x24	ReadWrite	
OAR1	0x00004000	ReadWrite	
OAR2	0x00000000	ReadWrite	
DR	0x00000000	ReadWrite	
SR1	0x00000000	ReadWrite	
SR2	0x00000000	ReadOnly	
CCR	0x000000B4	ReadWrite	
TRISE	0x00000025	ReadWrite	
